NamePCS;Index;Date;Result;Race;Class;KMs;PointsPCS;PointsUCI
ben-o-connor;1;12-7-2022;DNS; Tour de France | Stage 10;2.UWT;148.1;-;-
ben-o-connor;2;10-7-2022;102; Tour de France | Stage 9;2.UWT;192.9;-;-
ben-o-connor;3;9-7-2022;148; Tour de France | Stage 8;2.UWT;186.3;-;-
ben-o-connor;4;8-7-2022;57; Tour de France | Stage 7;2.UWT;176.3;-;-
ben-o-connor;5;7-7-2022;59; Tour de France | Stage 6;2.UWT;219.9;-;-
ben-o-connor;6;6-7-2022;85; Tour de France | Stage 5;2.UWT;157;-;-
ben-o-connor;7;5-7-2022;57; Tour de France | Stage 4;2.UWT;171.5;-;-
ben-o-connor;8;3-7-2022;38; Tour de France | Stage 3;2.UWT;182;-;-
ben-o-connor;9;2-7-2022;166; Tour de France | Stage 2;2.UWT;202.2;-;-
ben-o-connor;10;1-7-2022;79; Tour de France | Stage 1 (ITT);2.UWT;13.2;-;-
ben-o-connor;11;12-6-2022;11; Critérium du Dauphiné | Mountains classification;2.UWT;;-;-
ben-o-connor;12;12-6-2022;21; Critérium du Dauphiné | Points classification;2.UWT;;-;-
ben-o-connor;13;12-6-2022;3; Critérium du Dauphiné;2.UWT;;160;325.0
ben-o-connor;14;12-6-2022;3; Critérium du Dauphiné | Stage 8;2.UWT;138.8;18;10.0
ben-o-connor;15;11-6-2022;4; Critérium du Dauphiné | Stage 7;2.UWT;134.8;13;-
ben-o-connor;16;10-6-2022;49; Critérium du Dauphiné | Stage 6;2.UWT;196.5;-;-
ben-o-connor;17;9-6-2022;37; Critérium du Dauphiné | Stage 5;2.UWT;162.3;-;-
ben-o-connor;18;8-6-2022;14; Critérium du Dauphiné | Stage 4 (ITT);2.UWT;31.9;-;-
ben-o-connor;19;7-6-2022;15; Critérium du Dauphiné | Stage 3;2.UWT;169;-;-
ben-o-connor;20;6-6-2022;27; Critérium du Dauphiné | Stage 2;2.UWT;169.8;-;-
ben-o-connor;21;5-6-2022;43; Critérium du Dauphiné | Stage 1;2.UWT;191.8;-;-
ben-o-connor;22;1-5-2022;21; Tour de Romandie | Mountains classification;2.UWT;;-;-
ben-o-connor;23;1-5-2022;9; Tour de Romandie | Points classification;2.UWT;;-;-
ben-o-connor;24;1-5-2022;5; Tour de Romandie;2.UWT;;120;225.0
ben-o-connor;25;1-5-2022;10; Tour de Romandie | Stage 5 (ITT);2.UWT;15.84;1;-
ben-o-connor;26;30-4-2022;4; Tour de Romandie | Stage 4;2.UWT;180.1;13;-
ben-o-connor;27;29-4-2022;35; Tour de Romandie | Stage 3;2.UWT;165.1;-;-
ben-o-connor;28;28-4-2022;8; Tour de Romandie | Stage 2;2.UWT;168.2;3;-
ben-o-connor;29;27-4-2022;6; Tour de Romandie | Stage 1;2.UWT;178;7;-
ben-o-connor;30;26-4-2022;24; Tour de Romandie | Prologue;2.UWT;5.12;-;-
ben-o-connor;31;16-4-2022;1; Tour du Jura Cycliste;1.1;169.8;75;125.0
ben-o-connor;32;15-4-2022;6; Classic Grand Besançon Doubs;1.1;177.5;24;40.0
ben-o-connor;33;27-3-2022;11; Volta Ciclista a Catalunya | Mountains classification;2.UWT;;-;-
ben-o-connor;34;27-3-2022;5; Volta Ciclista a Catalunya | Points classification;2.UWT;;-;-
ben-o-connor;35;27-3-2022;6; Volta Ciclista a Catalunya;2.UWT;;110;140.0
ben-o-connor;36;27-3-2022;14; Volta Ciclista a Catalunya | Stage 7;2.UWT;138.6;-;-
ben-o-connor;37;26-3-2022;18; Volta Ciclista a Catalunya | Stage 6;2.UWT;168.6;-;-
ben-o-connor;38;25-3-2022;30; Volta Ciclista a Catalunya | Stage 5;2.UWT;206.3;-;-
ben-o-connor;39;24-3-2022;12; Volta Ciclista a Catalunya | Stage 4;2.UWT;166.7;-;-
ben-o-connor;40;23-3-2022;1; Volta Ciclista a Catalunya | Stage 3;2.UWT;161.1;50;50.0
ben-o-connor;41;22-3-2022;39; Volta Ciclista a Catalunya | Stage 2;2.UWT;202.4;-;-
ben-o-connor;42;21-3-2022;28; Volta Ciclista a Catalunya | Stage 1;2.UWT;171.2;-;-
ben-o-connor;43;9-3-2022;DNS; Paris - Nice | Stage 4 (ITT);2.UWT;13.4;-;-
ben-o-connor;44;8-3-2022;34; Paris - Nice | Stage 3;2.UWT;190.8;-;-
ben-o-connor;45;7-3-2022;16; Paris - Nice | Stage 2;2.UWT;159.2;-;-
ben-o-connor;46;6-3-2022;31; Paris - Nice | Stage 1;2.UWT;159.8;-;-
ben-o-connor;47;20-2-2022;5; Vuelta a Andalucia Ruta Ciclista Del Sol | Mountains classification;2.Pro;;-;-
ben-o-connor;48;20-2-2022;22; Vuelta a Andalucia Ruta Ciclista Del Sol | Points classification;2.Pro;;-;-
ben-o-connor;49;20-2-2022;7; Vuelta a Andalucia Ruta Ciclista Del Sol;2.Pro;;55;60.0
ben-o-connor;50;20-2-2022;19; Vuelta a Andalucia Ruta Ciclista Del Sol | Stage 5;2.Pro;146.4;-;-
ben-o-connor;51;19-2-2022;9; Vuelta a Andalucia Ruta Ciclista Del Sol | Stage 4;2.Pro;167.4;-;-
ben-o-connor;52;18-2-2022;13; Vuelta a Andalucia Ruta Ciclista Del Sol | Stage 3;2.Pro;153.2;-;-
ben-o-connor;53;17-2-2022;14; Vuelta a Andalucia Ruta Ciclista Del Sol | Stage 2;2.Pro;150.6;-;-
ben-o-connor;54;16-2-2022;22; Vuelta a Andalucia Ruta Ciclista Del Sol | Stage 1;2.Pro;200.7;-;-
geoffrey-bouchard;1;9-7-2022;DNS; Tour de France | Stage 8;2.UWT;186.3;-;-
geoffrey-bouchard;2;8-7-2022;99; Tour de France | Stage 7;2.UWT;176.3;-;-
geoffrey-bouchard;3;7-7-2022;71; Tour de France | Stage 6;2.UWT;219.9;-;-
