Renner;Ploeg;Witte trui;Waarde;NamePCS;TeamPCS;PPS_OneDayRaces;PPS_GeneralClassification;PPS_TimeTrial;PPS_Sprint;PPS_Climber;TP_Status;TP_PntTotaal;TP_PntEtappe;TP_PntAlgemeen;TP_PntSprint;TP_PntBerg;TP_PntWit;TP_PntTussensprint;TP_PntBezem;TP_Opnames
O'CONNOR , BEN;AG2R;;15;ben-o-connor;AG2R Citroën Team;180;1642;214;88;1516;uitvaller;0;0;0;0;0;0;0;0;9
BOUCHARD , GEOFFREY;AG2R;;6;geoffrey-bouchard;AG2R Citroën Team;131;525;10;38;604;uitvaller;0;0;0;0;0;0;0;0;0
COSNEFROY , BENOÎT;AG2R;;4;benoit-cosnefroy;AG2R Citroën Team;2349;511;107;453;1036;;0;0;0;0;0;0;0;0;11
CHÉREL , MIKAËL;AG2R;;2;mikael-cherel;AG2R Citroën Team;628;1273;1;472;962;uitvaller;0;0;0;0;0;0;0;0;0
JUNGELS , BOB;AG2R;;2;bob-jungels;AG2R Citroën Team;1125;2230;2678;388;2175;;123;86;28;0;8;0;1;0;7
NAESEN , OLIVER;AG2R;;2;oliver-naesen;AG2R Citroën Team;3742;1281;35;1452;1768;uitvaller;10;10;0;0;0;0;0;0;1
PARET-PEINTRE , AURÉLIEN;AG2R;;2;aurelien-paret-peintre;AG2R Citroën Team;504;841;83;139;783;uitvaller;8;8;0;0;0;0;0;0;6
DEWULF , STAN;AG2R;X;1;stan-dewulf;AG2R Citroën Team;553;280;65;439;264;;14;9;0;0;0;0;5;0;7
PHILIPSEN , JASPER;ALPECIN;X;15;jasper-philipsen;Alpecin-Deceuninck;1767;285;144;3064;984;;345;196;0;134;0;6;9;0;6
VAN DER POEL , MATHIEU;ALPECIN;;14;mathieu-van-der-poel;Alpecin-Deceuninck;3929;804;834;1759;1828;uitvaller;62;29;23;6;0;0;4;0;47
DILLIER , SILVAN;ALPECIN;;2;silvan-dillier;Alpecin-Deceuninck;1142;842;526;686;550;;0;0;0;0;0;0;0;0;2
GOGL , MICHAEL;ALPECIN;;1;michael-gogl;Alpecin-Deceuninck;500;391;74;179;421;uitvaller;0;0;0;0;0;0;0;0;2
KRIEGER , ALEXANDER;ALPECIN;;1;alexander-krieger;Alpecin-Deceuninck;659;234;167;1178;206;;20;19;0;0;0;0;1;0;1
PLANCKAERT , EDWARD;ALPECIN;;1;edward-planckaert;Alpecin-Deceuninck;470;72;18;624;29;;1;0;0;0;0;0;0;1;2
SBARAGLI , KRISTIAN;ALPECIN;;1;kristian-sbaragli;Alpecin-Deceuninck;1724;420;0;1647;1178;;10;10;0;0;0;0;0;0;2
VAN KEIRSBULCK , GUILLAUME;ALPECIN;;1;guillaume-van-keirsbulck;Alpecin-Deceuninck;762;549;459;612;61;;0;0;0;0;0;0;0;0;1
QUINTANA , NAIRO;ARKÉA;;13;nairo-quintana;Team Arkéa Samsic;743;9296;1258;174;8546;;259;161;98;0;0;0;0;0;0
BARGUIL , WARREN;ARKÉA;;6;warren-barguil;Team Arkéa Samsic;2122;2649;106;310;4062;uitvaller;18;16;0;0;2;0;0;0;8
HOFSTETTER , HUGO;ARKÉA;;4;hugo-hofstetter;Team Arkéa Samsic;2262;105;0;2049;441;;104;104;0;0;0;0;0;0;20
CAPIOT , AMAURY;ARKÉA;;2;amaury-capiot;Team Arkéa Samsic;1587;178;10;1670;372;;40;38;0;0;0;0;2;0;1
BOUET , MAXIME;ARKÉA;;1;maxime-bouet;Team Arkéa Samsic;727;1524;397;856;956;;1;0;0;0;0;0;1;0;1
LOUVEL , MATIS;ARKÉA;X;1;matis-louvel;Team Arkéa Samsic;479;55;67;82;159;;7;0;0;0;0;0;3;4;17
OWSIAN , LUKASZ;ARKÉA;;1;lukasz-owsian;Team Arkéa Samsic;306;498;98;340;110;;0;0;0;0;0;0;0;0;0
SWIFT , CONNOR;ARKÉA;;1;connor-swift;Team Arkéa Samsic;547;410;139;284;267;;12;12;0;0;0;0;0;0;5
LUTSENKO , ALEXEY;ASTANA;;8;aleksey-lutsenko;Astana Qazaqstan Team;1637;2537;794;984;2717;;140;98;42;0;0;0;0;0;5
MOSCON , GIANNI;ASTANA;;3;gianni-moscon;Astana Qazaqstan Team;1824;853;606;454;1256;uitvaller;5;0;0;0;0;0;0;5;0
FELLINE , FABIO;ASTANA;;2;fabio-felline;Astana Qazaqstan Team;1752;1422;1238;1100;2042;uitvaller;0;0;0;0;0;0;0;0;1
BATTISTELLA , SAMUELE;ASTANA;X;1;samuele-battistella;Astana Qazaqstan Team;353;278;67;145;267;niet gestart;0;0;0;0;0;0;0;0;5
